lettr,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
V,7.0,11.0,7.0,8.0,5.0,2.0,11.0,2.0,3.0,9.0,11.0,8.0,3.0,11.0,1.0,7.0
Z,8.027641,11.0,9.0,8.0,6.0,8.0,6.0,3.0,9.0,13.0,6.0,10.0,3.0,6.0,7.0,7.0
V,4.0,9.0,6.0,7.0,6.0,8.0,7.0,4.0,5.0,7.0,6.0,7.0,6.0,10.0,6.0,6.0
Z,4.0,9.0,6.0,7.0,3.0,7.0,7.0,5.0,11.0,7.0,6.0,8.0,1.0,9.0,8.0,8.0
R,3.0,8.0,4.0,6.0,3.0,6.0,11.0,7.0,4.0,7.0,4.0,9.0,3.0,6.0,6.0,11.0
W,6.0,5.0,7.0,4.0,3.0,3.442715,11.0,3.0,3.0,9.0,10.0,8.0,8.0,11.0,1.0,7.0
W,4.0,4.0,6.0,8.0,3.0,4.0,8.0,5.0,1.0,7.0,8.0,8.0,8.0,9.0,0.0,8.0
O,5.0,9.0,7.0,7.0,4.0,8.0,7.0,8.0,8.0,7.0,6.0,8.0,2.0,8.0,3.0,8.0
S,2.0,4.0,4.0,3.0,1.0,5.0,8.0,3.0,7.0,10.0,9.0,9.0,1.0,9.0,5.0,6.0
A,4.0,11.0,6.0,8.0,4.0,11.0,3.0,2.0,3.0,9.0,2.0,10.0,2.0,7.0,3.0,8.0
Y,4.0,6.0,6.0,8.0,7.0,9.0,8.0,6.0,2.0,7.0,8.0,8.0,7.0,10.0,6.0,4.0
J,2.0,2.0,3.0,3.0,1.0,10.0,6.0,2.0,5.0,12.0,4.0,8.0,1.0,7.0,1.0,7.0
V,2.0,1.0,3.0,2.0,1.0,7.0,11.0,3.0,3.0,7.0,11.0,8.0,2.0,10.0,1.0,8.0
I,3.0,9.0,5.0,7.0,2.0,6.0,6.0,0.0,8.0,13.0,7.0,11.0,0.0,8.0,1.0,8.0
V,3.0,7.0,6.0,5.0,1.0,8.0,8.0,4.0,3.0,7.0,13.231381,8.0,3.0,9.0,0.0,8.0
L,4.0,9.0,6.0,7.0,2.0,5.0,4.0,2.0,10.0,6.0,0.0,10.0,0.0,7.0,3.0,7.0
M,4.0,9.0,6.0,7.0,5.0,8.0,6.0,9.0,2.0,7.0,8.0,8.0,8.0,5.0,1.0,7.0
K,3.0,5.0,4.0,6.0,1.0,4.0,8.0,8.0,2.0,7.0,5.0,11.0,3.0,8.0,2.0,10.0
W,4.0,9.0,6.0,7.0,9.0,10.0,6.0,4.0,3.0,7.0,5.0,7.019278,7.0,9.0,5.0,7.0
D,3.0,7.0,4.0,6.0,5.0,8.0,8.0,6.0,5.0,7.0,5.0,6.0,3.0,8.0,6.0,7.0
D,4.0,9.0,6.0,7.0,8.0,9.0,8.0,5.0,6.0,7.0,5.0,7.0,5.0,7.0,9.934093,4.0
G,3.0,3.0,4.0,5.0,2.0,6.0,6.0,7.0,7.0,6.0,5.0,10.0,2.0,9.0,4.0,10.0
R,4.0,8.0,7.0,6.0,6.0,7.0,8.0,5.97947,6.0,7.0,5.0,7.0,3.0,7.0,5.0,9.0
A,6.0,11.0,5.0,6.0,3.0,10.0,0.0,3.0,2.0,10.0,3.0,11.0,3.0,4.3560185,4.0,8.0
O,5.0,8.0,6.0,7.0,5.0,6.0,5.0,6.0,4.0,6.0,4.0,6.0,3.0,7.0,5.0,8.0
O,5.0,9.0,6.0,7.0,3.0,8.0,7.0,8.0,8.0,7.0,6.0,9.0,3.0,8.0,4.0,8.0
K,5.0,10.0,7.0,7.0,7.0,7.0,6.0,1.0,4.0,7.0,3.0,8.0,5.0,5.0,6.0,8.0
T,1.0,0.0,2.0,0.0,0.0,7.0,14.0,2.0,4.0,7.0,10.0,8.0,0.0,8.0,0.0,8.0
U,7.0,9.0,7.0,7.0,4.0,5.0,8.0,6.0,9.0,9.0,9.0,9.0,3.0,9.0,2.0,7.0
W,6.0,11.0,7.0,8.0,6.0,3.0,10.0,3.0,2.0,9.0,10.0,9.0,7.0,11.0,1.0,7.0
H,6.0,9.0,9.0,8.0,9.0,7.0,8.0,5.0,3.0,6.0,7.0,8.0,7.0,7.0,9.0,9.0
T,2.0,4.0,4.0,4.0,1.0,6.0,13.237515,1.0,5.0,8.0,11.0,8.0,0.0,8.0,0.0,8.0
F,3.0,7.0,5.0,6.0,5.0,7.0,8.0,3.0,5.0,7.0,5.0,6.0,3.0,8.0,7.0,6.0
P,5.0,9.0,5.0,6.0,3.0,5.0,12.0,8.4182415,2.0,10.0,6.0,3.139453,1.0,10.0,4.0,7.0
E,5.0,11.0,7.0,8.0,7.0,8.0,8.0,6.0,4.0,6.0,6.0,9.0,4.0,8.0,9.0,9.0
Y,3.0,5.0,4.0,4.0,2.0,4.888836,10.0,1.0,7.3888645,10.0,10.0,5.6386104,1.0,11.0,3.0,4.0
D,4.0,8.0,5.0,6.0,4.0,7.0,7.0,5.0,7.0,9.0,5.0,5.0,3.0,8.0,3.0,8.0
F,3.0,8.0,4.0,6.0,3.0,1.1547565,11.0,3.0,5.0,11.0,10.0,8.0,0.0,8.0,2.0,6.0
Y,2.0,1.0,2.0,1.0,0.0,7.0,10.0,2.0,2.0,7.0,11.0,8.0,1.0,11.0,0.0,8.0
U,6.0,10.0,5.0,5.0,2.0,6.0,6.0,4.0,5.0,5.0,7.0,8.0,5.0,9.0,3.0,6.0
S,3.0,6.0,5.0,4.0,3.0,8.0,8.0,6.0,6.0,7.0,6.0,7.0,1.0,8.0,9.0,8.0
W,4.0,8.0,5.0,4.0,3.0,3.0,8.0,4.0,2.0,11.0,11.0,9.0,7.0,10.0,0.0,7.0
K,5.0,9.0,8.0,7.0,4.0,3.0,8.0,3.0,7.0,10.0,11.0,11.0,3.0,8.0,4.0,6.0
K,8.737195,14.0,9.0,8.0,5.0,7.0,7.0,3.0,8.0,8.0,6.0,8.0,5.0,8.0,4.0,8.0
T,2.0,3.0,4.0,5.0,1.0,8.0,14.0,0.0,6.0,6.0,11.0,8.0,0.0,8.0,0.0,8.0
N,2.0,4.0,4.0,3.0,2.0,5.0,9.0,3.0,4.0,10.0,8.0,8.0,5.0,8.0,1.0,8.0
D,6.0,11.0,7.0,6.0,4.0,5.0,9.0,4.0,6.0,10.0,6.0,6.0,4.0,7.0,6.0,5.0
Z,2.0,4.0,3.0,3.0,2.0,7.0,7.0,5.0,9.0,6.0,6.0,9.0,2.0,8.0,7.0,8.0
M,6.0,10.0,8.0,8.0,9.0,6.0,7.0,4.0,6.0,6.0,5.0,8.0,8.0,7.0,4.0,6.0
G,3.0,5.0,4.0,8.0,2.0,7.0,7.0,9.0,8.0,5.0,6.0,10.0,2.0,7.0,6.0,11.0
D,4.0,6.0,5.0,6.0,3.0,7.0,8.0,8.0,8.0,7.0,7.0,5.0,3.0,8.0,3.0,8.0
L,2.0,5.0,3.0,4.0,1.0,4.0,3.0,4.0,7.0,2.0,2.0,6.0,0.0,7.0,0.0,6.0
B,3.0,7.0,5.0,6.0,5.0,7.0,8.0,4.0,4.0,7.0,6.0,8.0,4.0,8.0,5.0,7.0
U,7.0,8.0,7.0,6.0,4.0,5.0,8.0,6.0,8.0,8.0,7.0,8.0,3.0,9.0,3.0,4.0
X,4.0,9.296589,5.0,6.846711,1.0,7.0,7.0,5.0,4.0,7.0,6.0,8.0,3.0,8.0,4.0,8.0
B,2.0,3.0,3.0,3.0,2.0,7.0,7.0,3.0,5.0,10.0,6.0,7.0,2.0,8.0,4.0,9.0
W,4.0,5.0,5.0,3.0,3.0,8.0,10.0,3.0,3.0,6.0,9.0,8.0,6.0,10.0,1.0,7.0
T,5.0,6.0,6.0,7.0,6.0,7.0,9.0,4.0,5.0,6.0,8.0,8.0,3.0,11.0,7.0,8.0
W,6.0,9.0,9.0,8.0,12.0,7.0,6.0,6.0,4.0,6.0,5.0,8.0,12.639671,9.0,8.0,10.0
S,5.0,8.0,6.0,6.0,3.0,7.0,7.0,4.0,8.0,10.0,7.0,9.0,2.0,9.0,5.0,6.0
Y,7.0,12.0,7.0,8.0,5.0,7.0,7.0,2.0,7.0,10.0,7.0,6.0,4.0,11.0,6.0,3.0020847
N,7.0,12.0,8.0,6.0,4.0,10.0,6.0,2.0,4.0,12.0,3.0,7.0,6.0,9.0,0.0,7.0
S,3.0,7.0,3.0,5.0,1.0,4.0,9.0,6.0,7.0,7.0,6.0,7.0,0.0,8.0,7.0,8.0
N,2.0,4.0,4.0,4.0,2.0,7.0,8.0,2.0,5.0,10.0,6.0,6.0,5.0,8.0,1.0,7.0
O,6.0,10.0,7.0,8.0,6.0,6.0,6.0,7.0,6.0,7.0,5.0,8.0,3.0,8.0,5.0,8.0
U,6.0,9.0,8.0,7.0,5.0,4.0,8.0,5.0,8.0,8.0,7.0,9.0,3.0,9.0,4.0,4.0
G,4.0,9.0,5.0,7.0,3.0,6.0,6.0,6.0,5.0,10.0,7.0,11.0,2.0,9.0,4.0,8.0
J,4.0,10.0,6.0,8.0,3.0,8.0,6.0,2.0,7.0,14.0,5.0,10.0,1.0,6.0,1.0,7.0
V,4.0,7.0,6.0,5.0,3.0,8.0,11.0,2.0,3.0,6.0,10.0,8.0,2.0,11.0,1.0,9.0
Y,2.0,0.0,2.0,1.0,0.0,7.0,10.0,3.0,0.0,7.0,12.0,8.0,1.0,11.0,0.0,8.0
E,7.0,9.0,9.0,8.0,9.0,7.0,7.0,5.0,3.0,7.0,6.0,10.0,7.0,10.0,9.0,8.0
X,5.0,11.0,7.0,8.0,6.0,7.0,6.0,3.0,7.0,6.0,6.0,8.0,3.0,8.0,9.422368,9.0
B,4.0,9.0,4.0,7.0,5.0,7.0,7.0,5.0,5.0,7.0,6.0,6.0,3.0,8.0,6.0,9.0
G,6.041328,8.0,6.0,4.0,2.0,9.0,4.0,4.0,4.0,9.0,5.0,10.0,4.0,7.0,5.0,10.0
L,3.0,6.0,5.0,4.0,2.0,7.0,3.0,1.0,7.0,7.0,2.0,9.0,1.0,6.0,2.0,8.0
R,6.0,11.0,8.0,8.0,7.697371,8.0,8.0,4.0,5.0,10.0,5.0,8.0,3.0,7.0,4.0,11.0
O,4.0,5.0,6.0,4.0,3.0,7.0,6.0,5.0,5.0,8.0,5.0,8.0,3.0,8.0,4.0,7.0
W,6.0931883,11.0,7.0,5.0,4.0,7.0,8.0,2.0,3.0,6.0,10.0,7.0,10.0,10.0,2.0,6.0
J,3.0,11.0,4.0,8.0,3.0,10.0,6.0,1.0,6.0,11.0,3.0,9.0,0.0,6.0,1.0,6.0
E,1.0,0.0,2.0,1.0,1.0,4.0,7.0,5.0,8.0,7.0,6.0,12.0,0.0,8.0,6.0,9.0
M,4.0,7.0,6.0,6.0,8.0,7.0,8.0,5.0,4.0,7.0,6.0,8.0,6.0,9.0,6.0,7.0
X,3.0,8.0,5.0,6.0,3.0,8.0,6.0,3.0,6.0,6.0,6.0,8.0,3.0,8.0,6.0,8.0
T,4.0,9.0,5.0,7.0,5.0,6.0,6.0,7.0,6.0,7.0,6.0,8.0,3.0,10.0,7.0,10.0
M,6.0,9.0,8.0,7.0,8.0,8.0,8.0,7.0,5.0,7.0,5.0,7.0,8.0,11.0,10.834482,10.0
G,3.0,3.0,3.0,2.0,1.0,6.0,7.0,5.0,5.0,8.0,7.0,10.0,2.0,8.0,4.0,9.0
R,5.0,10.0,9.0,8.0,10.0,5.0,8.0,3.0,5.0,5.0,5.0,10.0,8.0,6.0,8.0,8.0
O,4.0,8.0,4.0,6.0,3.0,7.0,6.0,8.0,5.7060604,11.0,7.0,9.0,3.0,9.0,4.0,7.0
V,4.0,6.0,5.0,4.0,3.0,4.0,11.0,3.0,4.0,10.0,11.0,7.0,3.0,9.0,1.0,7.0
I,3.0,10.0,4.0,8.0,2.0,7.0,7.0,0.0,7.0,13.0,6.0,8.0,0.0,8.0,1.0,7.0
P,2.0,4.0,3.0,3.0,2.0,5.0,9.0,3.0,5.0,10.0,8.0,4.0,1.0,10.0,3.0,6.0
X,5.0,10.0,6.0,7.0,3.0,8.0,7.0,5.0,4.0,7.0,6.0,8.0,3.0,8.0,4.0,8.0
K,11.0,14.0,11.0,8.0,6.0,6.0,8.0,3.0,6.0,10.0,9.0,9.0,6.0,9.0,4.0,6.0
D,4.0,8.0,5.0,6.0,5.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,5.0,8.0,3.0,7.0
A,3.0,3.0,5.0,3.0,2.0,10.0,2.0,3.0,2.0,8.0,2.0,9.0,2.0,6.0,2.0,9.0
P,7.0,15.0,7.0,8.0,5.0,10.0,6.0,4.0,5.0,13.0,3.0,6.0,3.0,10.0,6.0,10.0
Z,3.0,8.0,4.0,6.0,3.0,7.0,7.0,3.0,10.0,9.0,6.0,8.0,0.0,8.0,7.0,8.0
Z,1.0,0.0,2.0,1.0,0.0,7.0,7.0,3.0,9.0,8.0,6.0,8.0,0.0,8.0,6.0,8.0
W,5.0,9.0,6.0,7.0,6.0,3.0,10.0,2.0,2.0,9.0,8.0,8.0,6.0,11.0,1.0,7.0
X,4.0,10.0,6.0,7.0,4.0,8.0,7.0,0.0,7.0,9.0,6.0,8.0,2.0,8.0,4.0,8.0
L,3.0,6.0,4.0,4.0,3.0,6.0,5.0,2.0,7.0,7.0,2.0,10.0,1.0,6.0,3.0,7.0
Q,3.0,5.0,4.0,5.0,3.0,7.0,8.0,5.0,2.0,7.0,8.0,11.0,2.0,9.0,5.0,8.0
K,4.0,11.0,5.0,8.0,5.0,4.0,7.0,6.0,4.0,6.0,5.0,10.0,3.0,8.0,4.0,11.0
D,2.0,4.0,4.0,3.0,2.0,9.0,7.0,3.0,6.0,10.0,4.0,5.0,2.0,8.0,2.0,8.0
E,5.0,8.0,7.0,7.0,8.0,7.0,7.0,4.0,4.0,7.0,6.0,9.0,6.0,9.0,8.0,8.0
V,4.0,5.0,5.0,8.0,2.0,5.0,8.0,5.0,4.0,9.0,14.0,8.0,3.0,9.0,0.0,8.0
W,9.0,12.0,10.0,8.0,4.0,6.0,8.0,3.0,3.0,7.0,9.0,8.0,9.743686,9.0,0.0,8.0
P,1.0,0.0,1.0,0.0,0.0,4.0,11.0,5.0,2.0,10.0,7.0,5.0,0.0,9.0,2.0,8.0
G,5.0,7.0,7.0,7.0,7.0,7.0,8.0,5.0,3.0,7.0,6.0,10.0,8.0,11.0,6.0,10.0
G,5.0,6.0,6.0,8.0,3.0,9.0,6.0,7.0,6.0,7.0,5.0,9.0,2.0,8.0,7.0,11.0
M,7.0,10.0,8.0,8.0,7.0,6.0,6.0,4.0,7.0,7.0,6.0,10.0,8.0,0.6089933,6.0,4.0
H,8.0,9.0,11.158389,8.0,10.0,8.0,8.0,4.0,6.0,7.0,6.0,8.0,9.0,9.0,6.0,6.0
L,3.0,8.0,4.0,6.0,2.0,4.0,6.0,1.0,9.0,6.0,2.0,10.0,0.0,7.0,3.0,6.0
M,5.0,10.0,7.0,7.0,7.0,9.863803,5.0,4.0,2.0,9.0,3.0,9.0,9.0,4.1180058,2.0,8.0
Z,5.0,8.0,8.0,7.4570827,6.0,10.0,7.0,3.0,4.0,8.0,4.0,7.0,3.0,7.0,9.0,8.0
T,3.0,6.0,5.0,4.0,3.0,7.0,8.0,7.0,5.0,7.0,7.0,8.0,4.0,12.0,8.0,7.0
E,3.0,10.0,4.0,8.0,2.0,3.0,6.0,6.0,12.0,7.0,6.0,14.95176,0.0,8.0,7.0,7.0
U,5.0,11.0,6.0,8.0,4.0,7.0,7.0,8.0,6.0,7.0,11.0,8.0,3.0,9.0,0.0,8.0
S,4.0,8.0,5.0,5.0,2.0,8.0,8.0,1.0,6.0,12.0,5.0,6.0,1.0,9.0,4.0,8.0
H,2.0,7.0,3.0,4.0,2.0,7.0,8.0,14.0,1.0,7.0,5.0,8.0,3.0,8.0,0.0,8.0
E,2.0,3.0,3.0,2.0,2.0,7.0,7.0,5.0,7.0,7.0,6.0,9.0,2.0,8.0,5.0,9.304222
D,6.0,9.0,8.0,7.0,6.0,9.0,6.0,2.0,6.0,10.0,4.0,7.0,3.0,8.0,4.0,9.0
N,4.0,9.0,4.0,6.0,2.0,7.0,9.0,6.0,4.0,6.0,6.0,9.0,5.0,8.0,1.0,7.0
V,4.0,8.0,6.0,6.0,5.0,6.0,8.0,4.0,3.0,9.0,9.0,7.0,5.0,10.0,4.0,8.0
B,5.0,9.0,8.0,7.0,9.0,7.0,7.0,4.0,5.0,7.0,6.0,8.0,8.55612,8.0,7.0,7.0
K,4.0,11.0,6.0,8.0,5.0,5.0,6.0,6.0,6.0,5.0,7.0,13.0,4.4473476,7.0,6.0,10.0
R,5.0,9.0,7.0,7.0,8.0,8.0,7.0,6.0,2.0,7.0,5.0,8.0,4.0,7.0,6.0,9.0
I,1.0,3.0,2.0,1.0,0.0,7.0,7.0,1.0,7.0,13.0,6.0,8.0,0.0,8.0,0.0,7.0
F,3.0,5.0,3.0,6.0,1.0,1.0,12.0,4.0,4.0,11.0,10.0,7.0,0.0,8.0,2.0,6.0
G,5.0,10.0,6.0,8.0,3.0,7.0,6.0,7.0,8.0,6.0,5.0,9.0,1.0,8.0,6.0,11.0
I,1.0,6.0,1.0,4.0,1.0,7.0,7.0,1.0,7.0,7.0,6.0,8.0,0.0,8.0,2.0,8.0
V,4.0,9.0,7.0,7.0,7.0,7.0,7.0,4.0,2.0,7.0,7.0,8.0,5.0,9.0,5.0,9.0
A,3.0,7.0,5.0,5.0,2.0,10.0,3.0,3.0,2.0,9.0,1.0,8.0,3.0,6.0,2.0,8.0
M,3.0,6.0,5.0,4.0,2.0,8.0,6.0,10.0,1.0,6.4182243,9.0,8.0,8.0,6.0,0.0,8.0
P,3.0,2.1228328,4.0,4.0,1.0,5.0,13.0,7.0,2.0,10.0,6.0,3.0,0.0,9.0,3.0,7.0
V,7.0,9.0,7.0,7.0,3.0,3.0,12.0,2.0,2.0,9.0,11.0,8.0,3.0,11.0,1.0,7.0
M,3.0,5.0,4.0,4.0,3.0,7.0,5.0,10.0,0.0,7.0,9.0,8.0,6.0,6.0,0.0,8.0
L,4.0,6.7834816,6.0,4.0,5.0,7.0,6.0,3.0,6.0,7.0,7.0,10.0,3.4204037,11.0,5.0,8.0
M,3.0,1.3615963,4.0,4.0,3.0,8.0,6.0,11.0,2.0,6.0,9.0,8.0,6.0,6.0,0.0,8.0
J,2.0,4.0,4.0,2.0,1.0,9.0,6.0,2.0,6.0,13.0,5.0,9.0,1.0,7.0,1.0,7.0
N,2.0,3.0,3.0,3.0,2.0,7.0,8.0,5.0,5.0,7.0,6.0,6.0,4.0,9.0,2.0,5.0
T,6.0,9.0,6.0,7.0,5.0,6.0,11.0,3.0,6.0,10.0,9.0,5.0,3.0,11.0,4.0,4.0
R,6.0,14.717678,7.0,8.0,8.0,7.0,8.0,3.0,4.0,7.0,6.0,8.0,8.0,7.0,9.0,6.0
U,8.0,10.0,8.0,8.0,5.0,4.0,8.0,5.0,9.0,9.0,8.0,9.0,5.0,8.0,4.0,3.0
D,3.0,6.0,5.0,4.0,3.0,9.0,6.0,2.0,6.0,10.0,4.0,8.0,3.0,7.0,4.0,10.0
W,2.0,0.0,2.0,1.0,1.0,8.0,8.0,4.0,0.0,7.0,8.0,8.0,6.0,10.0,0.0,8.0
J,5.0,10.0,7.0,6.0,3.0,10.0,6.0,2.0,5.0,11.0,4.0,6.0,3.0,8.0,2.0,7.0
W,9.0,9.0,9.0,6.0,8.0,3.0,11.0,2.0,3.0,10.0,9.31634,9.0,9.0,12.0,2.0,7.0
A,4.0,10.0,5.0,8.0,3.0,7.0,3.0,3.0,2.0,6.0,1.0,7.0,3.0,6.0,3.0,8.0
C,3.0,5.0,4.0,5.0,2.0,8.0,6.0,8.0,7.0,8.0,6.0,10.763513,2.0,9.0,4.0,8.0
F,0.0,0.0,1.0,0.0,0.0,3.0,13.0,4.0,2.0,12.0,8.0,6.0,0.0,8.0,2.0,7.0
D,4.0,9.0,5.0,8.0,3.0,5.0,7.0,12.0,8.0,7.0,6.0,5.0,3.0,8.0,4.0,8.0
S,1.0,0.0,2.0,1.0,1.0,8.0,7.0,4.0,6.0,5.0,6.0,8.0,0.0,8.0,7.0,8.0
Y,4.0,6.0,5.0,4.0,2.0,3.0,11.0,3.0,6.0,12.0,11.0,7.0,1.0,11.0,2.0,6.0
J,3.0,6.0,3.0,4.0,2.0,13.0,4.0,4.0,5.0,12.0,1.0,8.0,0.0,7.0,0.0,8.0
Q,3.0,3.0,3.0,4.0,2.0,8.0,8.0,6.0,2.0,6.0,6.0,8.0,2.0,9.0,4.0,9.0
L,7.0,12.0,6.0,7.0,3.0,10.0,2.0,3.0,4.0,11.0,4.0,11.0,2.0,10.0,4.0,10.0
J,3.0,11.0,4.0,8.0,1.0,12.0,2.0,8.0,4.0,13.0,6.0,12.0,1.0,6.0,0.0,8.0
E,1.0,0.0,1.0,0.0,0.0,5.0,7.0,6.0,7.0,7.0,6.0,13.0,0.0,8.0,5.0,10.0
K,3.0,7.0,4.0,5.0,2.0,3.0,8.0,8.0,2.0,7.0,6.0,11.0,3.0,8.0,2.0,11.0
C,1.0,1.0,2.0,2.0,1.0,6.0,7.0,6.0,8.0,7.0,6.0,14.0,0.0,8.0,4.0,9.0
R,3.0,6.0,4.0,4.0,3.0,8.0,7.0,5.0,5.0,9.0,5.0,7.0,3.0,7.0,4.0,10.0
U,11.690977,13.0,9.311419,6.0,4.0,4.0,3.0,6.0,5.0,3.0,8.0,8.0,6.0,9.0,2.0,7.0
Z,4.0,10.0,5.0,8.0,4.0,7.0,8.0,3.0,12.6593895,9.0,6.0,8.0,0.0,8.0,7.0,7.0
